165	2963.51
164.95	2971.573
164.9	3010.533
164.85	3197.891
164.8	3285.301
164.75	3532.214
164.7	3389.84
164.65	3770.896
164.6	4017.658
164.55	4555.77
164.5	5015.173
164.45	5537.287
164.4	6499.432
164.35	7144.396
164.3	8059.839
164.25	8853.793
164.2	9925.383
164.15	10917.69
164.1	11632.27
164.05	12055.04
164	12642.97
163.95	12909.74
163.9	12815.92
163.85	12410.95
163.8	12260.65
163.75	11797.03
163.7	10904.28
163.65	10290.64
163.6	9747.951
163.55	9400.831
163.5	9043.185
163.45	8534.95
163.4	8953.694
163.35	8790.053
163.3	9654.156
163.25	10374.57
163.2	11488.52
163.15	12561.87
163.1	14378.6
163.05	15979.28
163	18145.67
162.95	19468.14
162.9	20709.71
162.85	21678.06
162.8	22548.7
162.75	22196.13
162.7	21944.74
162.65	21546.03
162.6	20335.93
162.55	19633.08
162.5	17778.47
162.45	16461.97
162.4	14726.82
162.35	13037.54
162.3	12061.11
162.25	10391.63
162.2	9060.949
162.15	8194.151
162.1	7263.73
162.05	6564.291
162	5777.751
161.95	5248.435
161.9	4837.807
161.85	4217.31
161.8	3963.163
161.75	3773.19
161.7	3552.488
161.65	3429.596
161.6	3305.441
161.55	3034.966
161.5	2911.695
161.45	2693.659
161.4	2818.887
161.35	2624.894
161.3	2621.893
161.25	2643.706
161.2	2523.417
161.15	2544.677
161.1	2362.881
161.05	2583.011
161	2366.154
